Text,Sentiment,Emotion,text_length,word_count
"এসব পাছা কবিরের আজাইররা পোস্ট। হেতি ক, ""যদি ভুল করে থাকি!! "" কত্ত বড় হারামজাদি ইতে!!  উষ্ঠা মারা উচিত হেতিরে।",Negative,Creepy,110,20
জুতা মারি গরুদান মারান!! আপনার আম্মা আব্বার খেলা দেখে কি সিউর হইছিলেন আপনি তাদেরই মেয়ে???,Strongly Negative,Creepy,89,15
"সুখে থাকতে ভুতে কিলাই, প্রবাদটা এর কাজের দ্বারা আবারো প্রমানিত। এর অভিযোগের বাস্তবতা ওরে দিয়েই বাস্তবায়ন করা হোক।",Negative,Bullying,113,18
তর মাথায় ব্রেন আছে সেটা তুই দেখছস? না দেখলে ভাব্বি গবর আছে,Strongly Negative,Bullying,58,12
আপনি কি নাস্তিক..?,Negative,Unbiased,18,3
আলহামদুলিল্লাহ ♥♥,Strongly Positive,Unbiased,17,2
আগুন তো তোর গায়ে দেয়া উচিত ছিলো.....!!,Negative,Unbiased,38,7
মানুষ শাক দিয়া মাছ ঢাকে আর আপনিতো চুল দিয়া দুধ +অইটাদুইটাই ঢাইকা ফাইলাছেনএজন্য আপনাকে /,Neutral,Creepy,87,15
"সেটা আগেই করা উচিৎ না ।আগে আমরা Imran H Sarker এর মন্তব্য শুনতে চাই ... ও হ্যাঁ , কোথায় যেন শুনেছিলাম মৌনতা সম্মতির লক্ষণ.........",Strongly Positive,Joyful,130,24
"সুন্দর কথা বলছেন ভাই,,,,",Strongly Positive,Joyful,24,4
সাবাস ইমরান ভাই,Strongly Positive,Joyful,15,3
জীবনের প্রথম আপনের একটা স্টাটাস ভাল্লাগসে :),Strongly Positive,Joyful,44,7
"অন্যায় কে অন্যায় বলা, আর সত্যকে সত্য, বলাই ভয় পাইনা ইমরান ভাই, আমরা জেগে আছি,সাথে আছি, সাথে থাকবো।",Strongly Positive,Joyful,98,18
ইমরান ভাই আজকে তোমাকে বাংগালি মনে হইছে,Strongly Positive,Joyful,38,7
"শফিক রেহমান একজন উচু-পদের লোক. তাকে খারাপ ভাল বলার কিন্তু আথিকার আমাদের মুখে বেমানান..!! সরকারি ভাল বলতে পারভে তার মাঝে কি মনসত্ব লুকিয়ে আছে....!!""""""",Strongly Positive,Joyful,149,24
"তোমারে আজকা বাঙালী মনে হইতাছেে,,,,,সাবাস ইমরান ভাই,,,,সাবাস,,,,,,,",Strongly Positive,Joyful,66,7
"ধন্যবাদ, ভাই",Strongly Positive,Joyful,12,2
আমি আপনার একদম পাশে থাকতে চাই।ইমরান ভাই,Strongly Positive,Joyful,39,7
"সাদিয়া মেম,অনেক ধন্যবাদ অাপনাকে গুরুত'পুরনো কিছু লিখার জন্য,আপনাকে অনেক ধন্যবাদ জানাচ্ছি। ভালো থাকবেন অাসাকরি।",Strongly Positive,Joyful,110,14
আপনার কথা এবং যুক্তি আমার খুব পচন্দ হয়েছে। এই হল সথ্যিকার দেশ প্রেমিক।আপনি আমার প্রেন্ট হয়ে গেলেন,Strongly Positive,Joyful,97,17
ইমরান ভাই আপনার কথায় আমি একমত,Strongly Positive,Joyful,29,6
আজ থেকে তুই আমার ভাই।,Strongly Positive,Joyful,21,5
আপনার সাথে আমি একমত,Strongly Positive,Joyful,19,4
একমত,Strongly Positive,Joyful,4,1
hahahahahahah... একেই বলে রাজনীতি... দেখা যাক পরের ডায়লগটা কি হয় ইমরানের...?,Strongly Positive,Joyful,76,11
হা হা হা...,Strongly Positive,Joyful,11,3
ভাই খারাব যে কোনো বয়সের হতে পারে,Strongly Positive,Joyful,32,7
"ধন্যবাদ ভাই সত্য কথা তোলে দরার জন্য,,,,,,,",Strongly Positive,Joyful,42,7
ঠিক অাছে অাপনার সঙ্গে অামি দ্বিমত পোষণ করলাম বৈকি অার এই অধিকারটি অাপনি প্রতিষ্ঠা করে দেখান নারে ভাই.....,Strongly Positive,Joyful,105,18
Sagor Islam Rumi ইমরান সাহেব চৈত্র মাসের ওয়াজ মাঘ মাসে করে ফেলেছেন।,Strongly Positive,Joyful,67,12
জ্যোতির্ময় মালী  আপনার অনেক কিছুই শেখার বাকি আছে মনে হয়।,Neutral,Creepy,57,10
ওহ। তাইলে প্লিজ একাটা পতিতালয় খুলোন। অন্তত গোপনে। দেশে আপনার চিন্তাধারার মানুষ মজা করতে পারবে,Neutral,Creepy,93,15
বারো ভাতারি ঠি আছে সবার লগে তাহলে রাত কাটানো শেষ।আল্লাহ তোদেরকে হেদায়েত করুক।সময় আছে আল্লাহর পথে ফিরে আয়,Neutral,Creepy,104,18
মিথিলারে দেখতে বলেন,Neutral,Unbiased,19,3
"হারাদিন ব্রা পইড়া ছবি দাও,আজকে কি আজরাইল আসছিলো নাকি দেখা করতে যে সাধু হয়া গেছো..লোক দেখানো সুশীল হয়ে লাভ নাই,সুশীল হলে অন্তর থেকে হও...না হয় আজরাঈলের মাইর একটাও মাটিতে পরবে না,পিটের ছারা লারি পেলবে",Neutral,Creepy,198,34
